Lays Original,1 oz,Snacks,Sams,18.98,50,$1.25
Lays BBQ,1 oz.,Snacks,Sams,18.98,50,$1.25
Cheetos,1 oz.,Snacks,Sams,18.98,50,$1.25
Cheetos Red Hot,1 oz.,Snacks,Sams,18.98,50,$1.25
Skinny Pop,.8 oz.,Snacks,Sams,14.98,30,$1.25
Cheezits,1.5 oz.,Snacks,Sams,15.62,45,$1.25
Baked Lays Original,1.1 oz.,Snacks,Sams,18.48,30,$1.25
Snyder Pretzel Minis,1.5 oz.,Snacks,Sams,14.98,60,$1.25
Honey Buns,3 oz.,Snacks,Sams,6.88,12,$1.50
Veggie Chips Egg(Seasonal),.5 oz.,Snacks,Sams,14.98,40,$1.25
Miss Vickis Chips Asst.,1.4 oz.,Snacks,Sams,18.48,30,$1.50
Frito Lays Munchies Cheese,1.75 oz,Snacks,Sams,14.78,30,$1.25
Goldfish Crackers,1.25 oz,Snacks,Sams,13.14,36,$1.25
Entenmens Little Bites Choc Chip,1.65 oz,Snacks,Sams,12.26,20,$1.50
Combo Cheddar Pretzel,1.8 oz,Snacks,Sams,11.98,18,$1.50
Big Texas Cinnamon Rolls,4 oz.,Snacks,Sams,9.58,12,$1.75
Pop Tart Brown Sugar,3.4 oz.,Candy,Sams,11.58,24,$1.25
Trail Mix Sweet and Salty,2.0 oz.,Candy,Sams,16.28,40,$1.25
Peanut Asst.,1.75 oz.,Candy,Sams,10.88,24,$1.25
Lance Peanutbutter Crackers,1.5 oz.,Candy,Sams,9.36,40,$1.00
Fig Bars,2 oz.,Candy,Sams,14.48,32,$1.00
Jerky Sticks Jack Links,0.8,Candy,Sams,14.98,15,$2.00
Oreos,2.4 oz.,Candy,Sams,12.78,30,$1.25
Pistacios Asst.,.75 oz.,Candy,Sams,13.98,18,$1.75
Belvita Cinnamon Bisquit,1.76 oz.,Candy,Sams,12.48,25,$1.25
Pringles,.67 oz,Meals,Sams,17.98,48,$1.00
Nutella to Go,1.8 oz,Meals,Sams,15.68,16,$2.00
Rice Krispies Treats,1.3 oz.,Meals,Sams,8.98,25,$1.25
Chocolate Donut 6pk,3 oz.,Meals,Sams,7.98,12,$1.50
Kind Bars,1.4 oz.,Meals,Sams,17.98,18,$2.00